Codice attacco,Test Number,Data inizio attacco,Data fine attacco,Exit code
T1001.002  - ,1,2024-06-24T16:27:21+02:00,2024-06-24T16:27:22+02:00,0
T1001.002  - ,2,2024-06-24T16:27:25+02:00,2024-06-24T16:27:25+02:00,0
T1003  - ,1,2024-06-24T16:27:28+02:00,2024-06-24T16:27:28+02:00,1
T1003  - ,2,2024-06-24T16:27:31+02:00,2024-06-24T16:27:31+02:00,0
T1003  - ,3,2024-06-24T16:27:34+02:00,2024-06-24T16:27:35+02:00,0
T1003  - ,4,2024-06-24T16:27:38+02:00,2024-06-24T16:27:39+02:00,0
T1003  - ,5,2024-06-24T16:27:42+02:00,2024-06-24T16:27:42+02:00,0
T1003  - ,6,2024-06-24T16:27:45+02:00,2024-06-24T16:27:46+02:00,0
T1003  - ,7,2024-06-24T16:27:49+02:00,2024-06-24T16:27:52+02:00,0
T1003.001  - ,1,2024-06-24T16:27:55+02:00,2024-06-24T16:27:56+02:00,1
T1003.001  - ,2,2024-06-24T16:27:59+02:00,2024-06-24T16:28:00+02:00,0
T1003.001  - ,3,2024-06-24T16:28:04+02:00,2024-06-24T16:28:04+02:00,1
T1003.001  - ,4,2024-06-24T16:28:07+02:00,2024-06-24T16:28:08+02:00,1
T1003.001  - ,5,2024-06-24T16:28:11+02:00,2024-06-24T16:28:11+02:00,1
T1003.001  - ,6,2024-06-24T16:28:14+02:00,2024-06-24T16:28:15+02:00,1
T1003.001  - ,7,2024-06-24T16:28:18+02:00,2024-06-24T16:28:18+02:00,1
T1003.001  - ,8,2024-06-24T16:28:21+02:00,2024-06-24T16:28:23+02:00,0
T1003.001  - ,9,2024-06-24T16:28:27+02:00,2024-06-24T16:28:27+02:00,1
T1003.001  - ,10,2024-06-24T16:28:30+02:00,2024-06-24T16:28:36+02:00,0
T1003.001  - ,11,2024-06-24T16:28:38+02:00,2024-06-24T16:28:39+02:00,0
T1003.001  - ,12,2024-06-24T16:28:42+02:00,2024-06-24T16:28:42+02:00,0
T1003.001  - ,13,2024-06-24T16:28:45+02:00,2024-06-24T16:28:45+02:00,0
T1003.001  - ,14,2024-06-24T16:28:48+02:00,2024-06-24T16:28:48+02:00,1
T1003.002  - ,1,2024-06-24T16:28:51+02:00,2024-06-24T16:28:51+02:00,0
T1003.002  - ,2,2024-06-24T16:28:53+02:00,2024-06-24T16:28:53+02:00,1
T1003.002  - ,3,2024-06-24T16:28:55+02:00,2024-06-24T16:28:59+02:00,0
T1003.002  - ,4,2024-06-24T16:29:01+02:00,2024-06-24T16:29:02+02:00,0
T1003.002  - ,5,2024-06-24T16:29:04+02:00,2024-06-24T16:29:04+02:00,1
T1003.002  - ,6,2024-06-24T16:29:06+02:00,2024-06-24T16:29:06+02:00,0
T1003.002  - ,7,2024-06-24T16:29:08+02:00,2024-06-24T16:29:11+02:00,0
T1003.003  - ,1,2024-06-24T16:29:13+02:00,2024-06-24T16:29:13+02:00,2
T1003.003  - ,2,2024-06-24T16:29:15+02:00,2024-06-24T16:29:15+02:00,0
T1003.003  - ,3,2024-06-24T16:29:17+02:00,2024-06-24T16:29:17+02:00,1
T1003.003  - ,4,2024-06-24T16:29:18+02:00,2024-06-24T16:29:19+02:00,0
T1003.003  - ,5,2024-06-24T16:29:20+02:00,2024-06-24T16:29:21+02:00,0
T1003.003  - ,6,2024-06-24T16:29:23+02:00,2024-06-24T16:29:23+02:00,0
T1003.003  - ,7,2024-06-24T16:29:24+02:00,2024-06-24T16:29:28+02:00,0
T1003.003  - ,8,2024-06-24T16:29:30+02:00,2024-06-24T16:29:30+02:00,0
T1003.003  - ,9,2024-06-24T16:29:31+02:00,2024-06-24T16:29:32+02:00,1
T1003.004  - ,1,2024-06-24T16:29:33+02:00,2024-06-24T16:29:33+02:00,1
T1003.005  - ,1,2024-06-24T16:29:34+02:00,2024-06-24T16:29:34+02:00,0
T1003.006  - ,1,2024-06-24T16:29:36+02:00,2024-06-24T16:29:36+02:00,1
T1003.006  - ,2,2024-06-24T16:29:37+02:00,2024-06-24T16:29:37+02:00,0
T1005  - ,1,2024-06-24T16:29:38+02:00,2024-06-24T16:29:41+02:00,0
T1006  - ,1,2024-06-24T16:29:42+02:00,2024-06-24T16:29:42+02:00,0
T1007  - ,1,2024-06-24T16:29:44+02:00,2024-06-24T16:29:44+02:00,0
T1007  - ,2,2024-06-24T16:29:45+02:00,2024-06-24T16:29:45+02:00,0
T1010  - ,1,2024-06-24T16:29:47+02:00,2024-06-24T16:29:47+02:00,0
T1012  - ,1,2024-06-24T16:29:49+02:00,2024-06-24T16:30:06+02:00,1
T1012  - ,2,2024-06-24T16:30:07+02:00,2024-06-24T16:30:11+02:00,0
T1012  - ,3,2024-06-24T16:30:13+02:00,2024-06-24T16:32:28+02:00,-1
T1016  - ,1,2024-06-24T16:32:30+02:00,2024-06-24T16:32:30+02:00,0
T1016  - ,2,2024-06-24T16:32:32+02:00,2024-06-24T16:32:32+02:00,0
T1016  - ,3,2024-06-24T16:32:34+02:00,2024-06-24T16:32:49+02:00,1
T1016  - ,4,2024-06-24T16:32:50+02:00,2024-06-24T16:32:51+02:00,0
T1016  - ,5,2024-06-24T16:32:52+02:00,2024-06-24T16:32:52+02:00,1
T1016  - ,6,2024-06-24T16:32:53+02:00,2024-06-24T16:33:08+02:00,0
T1016  - ,7,2024-06-24T16:33:10+02:00,2024-06-24T16:33:10+02:00,0
T1016.002  - ,1,2024-06-24T16:33:11+02:00,2024-06-24T16:33:12+02:00,1
T1018  - ,1,2024-06-24T16:33:13+02:00,2024-06-24T16:33:58+02:00,2
T1018  - ,2,2024-06-24T16:34:01+02:00,2024-06-24T16:34:01+02:00,2
T1018  - ,3,2024-06-24T16:34:04+02:00,2024-06-24T16:34:16+02:00,0
T1018  - ,4,2024-06-24T16:34:19+02:00,2024-06-24T16:36:12+02:00,-1073741502
T1018  - ,5,2024-06-24T16:36:13+02:00,2024-06-24T16:36:14+02:00,0
T1018  - ,6,2024-06-24T16:36:15+02:00,2024-06-24T16:36:56+02:00,0
T1018  - ,7,2024-06-24T16:36:58+02:00,2024-06-24T16:36:59+02:00,1
T1018  - ,8,2024-06-24T16:37:01+02:00,2024-06-24T16:37:02+02:00,1
T1018  - ,9,2024-06-24T16:37:04+02:00,2024-06-24T16:37:05+02:00,1
T1018  - ,10,2024-06-24T16:37:07+02:00,2024-06-24T16:37:08+02:00,0
T1018  - ,11,2024-06-24T16:37:11+02:00,2024-06-24T16:37:12+02:00,0
T1018  - ,12,2024-06-24T16:37:15+02:00,2024-06-24T16:37:15+02:00,0
T1018  - ,13,2024-06-24T16:37:19+02:00,2024-06-24T16:37:21+02:00,0
T1018  - ,14,2024-06-24T16:37:24+02:00,2024-06-24T16:37:31+02:00,-2146233087
T1018  - ,15,2024-06-24T16:37:34+02:00,2024-06-24T16:37:34+02:00,2
T1018  - ,16,2024-06-24T16:37:37+02:00,2024-06-24T16:37:37+02:00,0
T1020  - ,1,2024-06-24T16:37:40+02:00,2024-06-24T16:37:41+02:00,0
T1020  - ,2,2024-06-24T16:37:44+02:00,2024-06-24T16:38:39+02:00,0
T1021.001  - ,1,2024-06-24T16:38:41+02:00,2024-06-24T16:38:41+02:00,0
T1021.001  - ,2,2024-06-24T16:38:43+02:00,2024-06-24T16:38:44+02:00,0
T1021.001  - ,3,2024-06-24T16:38:48+02:00,2024-06-24T16:38:48+02:00,0
